dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
common_prefix,2800,MSD_RADIX_SORT,2948.685,2725.823,2848.579,0,405562,11
common_prefix,2800,MSD_RADIX_SORT_WITH_STRING_QS,2843.897,2770.754,2803.697,12776,412489,11
common_prefix,2900,QUICKSORT,8168.971,8124.782,8169.751,2838357,5676714,11
common_prefix,2900,MERGESORT,6172.788,6146.598,6163.016,2125698,4251396,11
common_prefix,2900,STRING_QUICKSORT,823.253,802.630,818.440,238894,241250,11
common_prefix,2900,STRING_MERGESORT_LCP,1178.118,1148.791,1161.841,229689,459378,11
common_prefix,2900,MSD_RADIX_SORT,2961.795,2903.215,2928.532,0,420100,11
common_prefix,2900,MSD_RADIX_SORT_WITH_STRING_QS,2965.108,2918.185,2972.806,13489,427497,11
common_prefix,3000,QUICKSORT,8570.544,8524.763,8560.182,2973085,5946170,11
common_prefix,3000,MERGESORT,6433.065,6406.703,6435.469,2209935,4419870,11
common_prefix,3000,STRING_QUICKSORT,850.128,837.821,845.562,243625,246050,11
common_prefix,3000,STRING_MERGESORT_LCP,1253.261,1225.033,1253.587,237736,475472,11
common_prefix,3000,MSD_RADIX_SORT,3030.658,2973.358,3002.539,0,434670,11
common_prefix,3000,MSD_RADIX_SORT_WITH_STRING_QS,3112.665,3045.890,3090.914,14162,442445,11
nearly_sorted,100,QUICKSORT,11.309,9.714,10.417,995,1990,11
nearly_sorted,100,MERGESORT,7.435,5.647,5.906,606,1212,11
nearly_sorted,100,STRING_QUICKSORT,4.931,4.150,4.264,578,661,11
nearly_sorted,100,STRING_MERGESORT_LCP,6.698,5.439,5.584,339,678,11
nearly_sorted,100,MSD_RADIX_SORT,8.283,7.759,7.987,0,510,11
nearly_sorted,100,MSD_RADIX_SORT_WITH_STRING_QS,5.545,4.904,5.102,374,652,11
nearly_sorted,200,QUICKSORT,21.145,18.575,20.613,2251,4502,11
nearly_sorted,200,MERGESORT,13.797,12.776,13.279,1314,2628,11
nearly_sorted,200,STRING_QUICKSORT,10.288,8.818,9.201,1223,1382,11
nearly_sorted,200,STRING_MERGESORT_LCP,14.597,12.363,12.775,689,1378,11
nearly_sorted,200,MSD_RADIX_SORT,15.148,14.548,15.153,0,996,11
nearly_sorted,200,MSD_RADIX_SORT_WITH_STRING_QS,10.669,9.804,9.926,767,1319,11
nearly_sorted,300,QUICKSORT,34.167,29.829,33.328,3466,6932,11
nearly_sorted,300,MERGESORT,22.558,20.371,21.346,2070,4140,11
nearly_sorted,300,STRING_QUICKSORT,17.033,14.783,15.597,1992,2225,11
nearly_sorted,300,STRING_MERGESORT_LCP,22.478,19.381,20.181,1076,2152,11
nearly_sorted,300,MSD_RADIX_SORT,22.257,21.642,22.292,0,1458,11
nearly_sorted,300,MSD_RADIX_SORT_WITH_STRING_QS,16.028,14.178,14.735,1157,1981,11
nearly_sorted,400,QUICKSORT,46.234,40.588,44.628,4878,9756,11
nearly_sorted,400,MERGESORT,33.158,30.850,32.013,2824,5648,11
nearly_sorted,400,STRING_QUICKSORT,22.991,20.057,21.097,2832,3152,11
nearly_sorted,400,STRING_MERGESORT_LCP,34.653,31.153,32.649,1403,2806,11
nearly_sorted,400,MSD_RADIX_SORT,29.220,28.125,29.156,0,1946,11
nearly_sorted,400,MSD_RADIX_SORT_WITH_STRING_QS,22.240,20.168,21.001,1534,2635,11
nearly_sorted,500,QUICKSORT,58.454,52.998,56.833,6305,12610,11
nearly_sorted,500,MERGESORT,40.782,37.886,39.100,3747,7494,11
nearly_sorted,500,STRING_QUICKSORT,30.480,27.419,28.313,3644,4039,11
